year,v3_pixels,v3_area_km2,v4_pixels,v4_area_km2,v5_pixels,v5_area_km2,ratio_v3_to_v4_area,ratio_v5_to_v4_area,v5_override_pixels,v5_override_area_km2,v5_override_fraction
1850,1355.000000,2010750.429028,1355.000000,2010750.429028,1019.000000,1508041.253726,1.000000,0.749989,336.000000,502709.175302,0.247970
1851,951.000000,1384569.725768,1223.000000,1794441.871842,740.000000,1070628.868496,0.771588,0.596636,483.000000,723813.003346,0.394930
1852,618.000000,921146.128063,983.000000,1478426.827752,495.000000,741619.298499,0.623058,0.501627,488.000000,736807.529253,0.496439
1853,729.000000,1071180.570949,1266.000000,1892211.936580,606.000000,889138.539886,0.566100,0.469894,660.000000,1003073.396694,0.521327
1854,657.000000,951818.662620,1410.000000,2096583.479291,592.000000,857284.894790,0.453986,0.408896,818.000000,1239298.584501,0.580142
1855,601.000000,865288.077320,1505.000000,2216993.029429,538.000000,773852.716495,0.390298,0.349055,967.000000,1443140.312934,0.642525
1856,415.000000,596029.265028,1273.000000,1855054.535322,389.000000,560582.684416,0.321300,0.302192,884.000000,1294471.850907,0.694423
1857,392.000000,544829.193870,1222.000000,1773846.501234,396.000000,553179.008534,0.307146,0.311853,826.000000,1220667.492700,0.675941
1858,404.000000,576376.584626,1235.000000,1812803.842389,386.000000,556631.318032,0.317948,0.307055,849.000000,1256172.524357,0.687449
1859,332.000000,475313.495162,1388.000000,2034470.638496,348.000000,500546.997095,0.233630,0.246033,1040.000000,1533923.641400,0.749280
1860,437.000000,626326.988137,1667.000000,2457196.541706,444.000000,637847.942852,0.254895,0.259584,1223.000000,1819348.598854,0.733653
1861,295.000000,411167.142702,1323.000000,1915257.164007,305.000000,426581.846544,0.214680,0.222728,1018.000000,1488675.317463,0.769463
1862,214.000000,301526.154043,1269.000000,1860318.712603,229.000000,325151.562371,0.162083,0.174783,1040.000000,1535167.150232,0.819543
1863,239.000000,353881.006062,1385.000000,2062437.550896,265.000000,394277.922672,0.171584,0.191171,1120.000000,1668159.628224,0.808664
1864,204.000000,294871.043976,1351.000000,1988040.972564,245.000000,354917.279806,0.148322,0.178526,1106.000000,1633123.692759,0.818653
1865,179.000000,254333.232280,1226.000000,1789375.441022,201.000000,291411.047490,0.142135,0.162856,1025.000000,1497964.393532,0.836052
1866,195.000000,274564.261782,1439.000000,2108615.579596,231.000000,329554.070385,0.130211,0.156289,1208.000000,1779061.509211,0.839472
1867,202.000000,294594.287687,1383.000000,2030361.431351,233.000000,335546.297302,0.145095,0.165264,1150.000000,1694815.134048,0.831526
1868,218.000000,315524.384248,1546.000000,2279858.657862,275.000000,399072.940572,0.138396,0.175043,1271.000000,1880785.717291,0.822122
1869,183.000000,259303.555907,1548.000000,2292387.794927,220.000000,318600.037613,0.113115,0.138982,1328.000000,1973787.757314,0.857881
1870,164.000000,232676.399680,1474.000000,2191162.318736,444.000000,656630.254166,0.106189,0.299672,1030.000000,1534532.064570,0.698779
1871,182.000000,251366.455331,1471.000000,2143182.652571,474.000000,677649.910017,0.117287,0.316189,997.000000,1465532.742554,0.677770
1872,133.000000,194174.690373,1321.000000,1928664.686476,418.000000,616456.206002,0.100678,0.319629,903.000000,1312208.480474,0.683573
1873,128.000000,184855.693489,1422.000000,2102308.163796,457.000000,672946.563419,0.087930,0.320099,965.000000,1429361.600377,0.678622
1874,136.000000,192550.975118,1424.000000,2107067.641274,472.000000,688604.751183,0.091383,0.326807,952.000000,1418462.890090,0.668539
1875,119.000000,154813.354506,1305.000000,1892363.887957,430.000000,607288.817568,0.081810,0.320915,875.000000,1285075.070389,0.670498
1876,103.000000,148624.351946,1426.000000,2102838.424532,425.000000,622874.869637,0.070678,0.296207,1001.000000,1479963.554895,0.701964
1877,136.000000,195453.957823,1604.000000,2361890.675677,525.000000,756851.599344,0.082753,0.320443,1079.000000,1605039.076333,0.672693
1878,98.000000,137415.413402,1371.000000,2001133.906011,389.000000,564743.614927,0.068669,0.282212,982.000000,1436390.291084,0.716265
1879,82.000000,115542.756961,1279.000000,1880291.339452,363.000000,521434.122766,0.061449,0.277316,916.000000,1358857.216685,0.716185
1880,102.000000,146959.106672,1440.000000,2108874.225043,410.000000,585866.358349,0.069686,0.277810,1030.000000,1523007.866694,0.715278
1881,111.000000,154619.707431,1445.000000,2125566.213658,400.000000,577420.158011,0.072743,0.271655,1045.000000,1548146.055647,0.723183
1882,134.000000,191383.466950,1490.000000,2197847.252224,384.000000,549647.863051,0.087078,0.250085,1106.000000,1648199.389172,0.742282
1883,105.000000,156004.249173,1532.000000,2265804.042220,346.000000,508419.729121,0.068852,0.224388,1186.000000,1757384.313099,0.774151
1884,87.000000,120493.231768,1355.000000,2008375.415763,277.000000,398998.696082,0.059995,0.198667,1078.000000,1609376.719681,0.795572
1885,105.000000,156083.440676,1456.000000,2161932.931058,323.000000,471866.293640,0.072196,0.218261,1133.000000,1690066.637417,0.778159
1886,108.000000,150413.878792,1662.000000,2438898.583120,334.000000,475250.290681,0.061673,0.194863,1328.000000,1963648.292438,0.799037
